student,level
5050581,C1
5432976,C1
5435823,B2
5679048,A2
5711138,C1
5772110,C1
5803202,C1
5840906,B2
5873332,A1
5876455,C1
5943454,B2
5982778,B2
6043007,C1
6113250,C1
6123248,C1
6180527,B2
6206763,C1
6215800,C1
6217110,A2
6226578,B2
6324138,C1
6334419,B2
6338929,C1
6355858,A1
6360088,A2
6376294,B2
6376391,C1
6387377,B2
6409397,A2
6420919,B2
6425015,C1
6427344,C1
6431910,B2
6435282,A1
6438591,C1
6439687,B2
6447159,A1
6450958,B2
6457499,C1
6457782,B2
6461259,C1
6463010,C1
6469403,A2
6472366,B2
6472900,B2
6479832,C1
6501153,C1
6512627,A2
6520956,C1
6524447,B2
6529732,C1
6530978,B2
6531818,C1
6536526,A2
6538014,A1
6541953,C1
6542747,B2
6543999,A2
6548478,C1
6551363,C1
6556462,B2
6558295,C1
6563027,C1
6575912,B2
6575955,B2
6594941,C1
6601271,A1
6607709,B2
6608500,A2
6609272,B2
6609558,B2
6609922,B2
6610262,B2
6610319,A1
6611641,A1
6612168,B2
6613873,A1
6614667,B2
6615302,C1
6649967,C1
6649983,B2
6654251,B2
6657064,C1
6657196,B2
6658966,B2
6659660,C1
6660723,C1
6663900,C1
6664079,B2
6664524,C1
6664877,A2
6666322,A2
6668139,B2
6669437,C1
6671024,C1
6671628,B2
6671636,C1
6673078,C1
6674244,B2
6675879,C1
6676808,B2
6677286,C1
6678800,A1
6679313,A2
6682123,B2
6683189,A1
6683952,C1
6685491,B2
6685769,B2
6685807,B2
6686633,B2
6689608,C1
6689772,B2
6690061,C1
6691807,C1
6692846,B2
6694504,C1
6695373,C1
6695799,C1
6696450,B2
6698690,B2
6699743,C1
6700369,B2
6700504,B2
6702132,A2
6702876,B2
6706030,B2
6706936,C1
6709749,B2
6710852,C1
6717350,B2
6718128,B2
6718454,B2
6719124,A2
6719574,B2
6720238,B2
6722728,A1
6725590,B2
6727380,B2
6739931,C1
6741642,B2
6745117,C1
6756402,B2
6756968,C1
6756984,C1
6771665,B2
6772297,B2
6773218,A2
6773943,C1
6774451,A2
6774648,B2
6775113,C1
6775121,B2
6777299,B2
6778856,C1
6782985,B2
6786719,A1
6788959,B2
6791631,A2
6792093,B2
6794983,B2
6795521,C1
6796072,B2
6797389,B2
6797427,B2
6798261,C1
6799276,C1
6799772,A1
6800037,B2
6801339,C1
6802161,B2
6803672,B2
6805691,A2
6806205,B2
6816502,A2
6819862,C1
6825692,C1
6825722,C1
6826362,C1
6828748,A2
6828810,A2
6830823,A2
6831714,B2
6833377,B2
6833457,B2
6834551,C1
6839898,C1
6858620,B2
6860404,C1
6862229,A2
6862741,C1
6862881,B2
6863179,A2
6863233,B2
6863284,B2
6865848,B2
6867123,B2
6871007,C1
6871767,B2
6888406,B2
6889321,C1
6889666,A2
6889690,B2
6889755,C1
6889763,A2
6889976,B2
6890419,B2
6890494,B2
6890605,B2
6890966,C1
6891431,A2
6891911,B2
6892365,B2
6892454,B2
6895224,B2
6898002,C1
6899114,A2
6899319,A1
6901437,B2
6902271,B2
6902565,B2
6905823,B2
6906331,B2
6907613,A2
6914105,C1
6918070,B2
6918801,A1
6922558,B2
6924887,C1
6925832,B2
6926308,C1
6928386,C1
6929919,A2
6930623,B2
6931352,B2
6932162,B2
6932944,B2
6933576,B2
6933665,B2
6933908,B2
6934289,C1
6935870,B2
6936605,B2
6936818,C1
6937245,B2
6938187,B2
6938330,C1
6938527,C1
6938977,C1
6940238,C1
6941250,B2
6942613,A2
6946422,C1
6946683,A2
6946775,B2
6946821,A2
6947402,A2
6950039,B2
6950438,A2
6950969,B2
6951949,C1
6953143,B2
6953283,B2
6954883,B2
6958684,C1
6962339,B2
6963815,B2
6964277,B2
6967799,A2
6970196,B2
6970641,A2
6970692,B2
6978553,A1
6979592,C1
6981406,B2
6981910,B2
6982526,A2
6983026,A1
6986041,C1
6989288,B2
6990286,A2
6990383,B2
6993250,B2
6993420,B2
6993595,C1
6993625,A2
6995652,B2
6995660,C1
6995776,C1
6995938,B2
6995946,A1
6996055,A2
6997914,A2
6998090,B2
6999232,B2
6999518,C1
7001650,A2
7001804,A2
7001839,A2
7001901,B2
7002541,A1
7002614,A1
7002673,A1
7004889,B2
7004978,B2
7005044,B2
7005060,A2
7005079,B2
7005109,B2
7005117,B2
7005133,C1
7005168,A2
7005206,C1
7005974,B2
7006423,B2
7010390,C1
66669828,C1
XX071295,C1
xx080219855,C1
XX6223943,C1
XX79112597472,B2